epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3777.67,1.5085,1.6371,1.18933,0.79264,0.73724,0.81977,0.45924,1.47364,1.26704,1.20365,0.000553814,0.000553814,0.000553814
2,7040.08,1.43292,1.0813,1.15378,0.73387,0.72889,0.75699,0.45232,1.42249,1.33937,1.18553,0.00108751,0.00108751,0.00108751
3,10185.3,1.41137,0.97587,1.15377,0.76774,0.72248,0.79938,0.46557,1.4909,1.48865,1.2621,0.00159921,0.00159921,0.00159921
4,13241.1,1.401,0.93647,1.15503,0.86557,0.78111,0.87096,0.53159,1.37717,0.86085,1.17141,0.00156798,0.00156798,0.00156798
5,16095.2,1.38429,0.90599,1.14891,0.87452,0.78611,0.86358,0.53463,1.34953,0.81813,1.16679,0.00153497,0.00153497,0.00153497
6,18937.6,1.37192,0.86448,1.14522,0.8957,0.83666,0.90581,0.55191,1.34623,0.73778,1.16489,0.00150197,0.00150197,0.00150197
7,21774.2,1.3531,0.8343,1.12945,0.89392,0.83908,0.9047,0.55286,1.28471,0.74479,1.14413,0.00146896,0.00146896,0.00146896
8,24597.7,1.33853,0.81249,1.12915,0.90258,0.84761,0.91301,0.57508,1.31167,0.68472,1.14566,0.00143595,0.00143595,0.00143595
9,27405.3,1.33179,0.78925,1.11951,0.90185,0.84965,0.91496,0.58175,1.27402,0.6857,1.12883,0.00140295,0.00140295,0.00140295
10,30263.3,1.31518,0.77225,1.11473,0.91162,0.85116,0.9177,0.57231,1.28373,0.69276,1.13668,0.00136994,0.00136994,0.00136994
11,33084.3,1.31303,0.76081,1.11204,0.9195,0.84853,0.91752,0.58591,1.28412,0.66293,1.1344,0.00133693,0.00133693,0.00133693
12,35854.3,1.30727,0.75078,1.10787,0.91349,0.8788,0.92931,0.57794,1.277,0.64195,1.12895,0.00130393,0.00130393,0.00130393
13,38590.2,1.29866,0.74508,1.10817,0.91945,0.87298,0.93035,0.60958,1.23478,0.62196,1.10721,0.00127092,0.00127092,0.00127092
14,41329.6,1.27889,0.72471,1.10141,0.92088,0.87227,0.93189,0.60013,1.24708,0.62966,1.11556,0.00123791,0.00123791,0.00123791
15,45110.6,1.28208,0.72278,1.09788,0.91973,0.86709,0.93093,0.60114,1.23779,0.62176,1.10782,0.00120491,0.00120491,0.00120491
16,48187.1,1.27733,0.71741,1.09605,0.9111,0.87875,0.92964,0.59414,1.23965,0.63979,1.11865,0.0011719,0.0011719,0.0011719
